tag	treeid	stemtag	spcode	quadrat	gx	gy	dbh	codes	hom	date
12016	27278	1	serviceberry	A	88.2	103	1.2	M	1.3	2014-06-11
4459	142	1	black cherry	A	88.5	100.7	5.7	M	1.3	2014-06-11
12017	27279	1	red maple	A	90	104.3	2.2	M	1.3	2014-06-11
4461	143	1	black cherry	A	90.3	102.5	11.8	M	1.3	2014-06-11
4460	144	1	serviceberry	A	90.4	100.7	6	M	1.3	2014-06-11
12018	27280	1	serviceberry	A	91.2	104	3.5	M	1.3	2014-06-11
4462	145	1	black cherry	A	94	102.5	7.6	M	1.3	2014-06-11
4451	146	1	choke cherry	A	95.2	101.5	NA	D	1.3	2014-06-11
4463	147	1	choke cherry	A	95.6	101.4	NA	D	1.3	2014-06-11
4465	148	1	choke cherry	A	96.8	104.2	NA	D	1.3	2014-06-11
4464	149	1	flowering dogwood	A	97.8	101.6	4.6	M	1.3	2014-06-11
4466	150	1	red maple	A	98.3	104	8.6	M	1.3	2014-06-11
4467	151	1	black cherry	A	99.1	101.2	4.2	M	1.3	2014-06-11
12019	27281	1	black cherry	A	99.5	104.9	3.6	M	1.3	2014-06-11
3434	15000	1	american elm	A	0.1	198.3	4	M	1.3	2014-06-23
3433	1103	1	white oak	A	1.2	195.4	37.4	M	1.3	2014-06-23
3432	1104	1	pignut hickory	A	3.7	198.2	11.2	M	1.3	2014-06-23
266	15001	1	black cherry	A	4.9	197	4.3	M	1.3	2014-06-23
265	15002	1	black cherry	A	6.2	197.3	NA	D	1.3	2014-06-23
17009	27471	1	black cherry	A	8.9	198.8	3	M	1.3	2014-06-23
17010	27472	1	black cherry	A	10.3	195.3	4	M	1.3	2014-06-23
17011	27473	1	black cherry	A	12	200	1.2	M	1.3	2014-06-23
264	1105	1	red maple	A	12.6	199	NA	S;D	1.3	2014-06-23
3431	1106	1	black cherry	A	12.8	196.8	11	M	1.3	2014-06-23
17012	27474	1	serviceberry	A	18.3	199.8	1.6	M	1.3	2014-06-23
3429	1107	1	shagbark hickory	A	21.8	197.9	11.1	M	1.3	2014-06-23
263	15003	1	black cherry	A	22	199.8	4.1	M	1.3	2014-06-23
3427	1108	1	black cherry	A	24.3	199.9	7.4	M	1.3	2014-06-23
3428	1109	1	pignut hickory	A	24.9	195.6	5.7	M	1.3	2014-06-23
3426	1110	1	white oak	A	29	195.9	19.2	M	1.3	2014-06-23
3425	1111	1	red maple	A	29.2	199.8	5.3	M	1.3	2014-06-23
3423	1112	1	flowering dogwood	A	30.7	199.4	8.9	M	1.3	2014-06-23
3424	1113	1	black cherry	A	31.2	196.2	7.5	M	1.3	2014-06-23
3422	1114	1	white oak	A	33.3	196.3	22.4	M	1.3	2014-06-23
3421	1115	1	black cherry	A	34.1	196.7	7.3	M	1.3	2014-06-23
3420	1116	1	black cherry	A	35.8	199.7	5.5	M	1.3	2014-06-23
3419	1117	1	black cherry	A	35.8	198	6.7	M	1.3	2014-06-23
3416	1120	1	black cherry	A	37.9	199	11.9	M	1.3	2014-06-23
3415	1121	1	red maple	A	39.3	198	9.5	M	1.3	2014-06-23
262	15004	1	black cherry	A	39.4	197.6	4	M	1.3	2014-06-23
3414	1122	1	serviceberry	A	43.2	196.6	5.6	M	1.3	2014-06-23
3412	1124	1	black oak	A	46.5	196.4	31.3	M	1.3	2014-06-23
3411	1125	1	black cherry	A	46.6	197.3	21.4	M	1.3	2014-06-23
